POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,26,Stirling Moss,Vanwall,18,2:59:22.700,9
2,2,Juan Manuel Fangio,Maserati,18,+193.900s,6
3,6,Harry Schell,Maserati,18,+406.800s,4
4,14,Masten Gregory,Maserati,18,+496.500s,3
5,30,Stuart Lewis-Evans,Vanwall,17,+1 lap,2
6,8,Giorgio Scarlatti,Maserati,17,+1 lap,0
7,24,Jack Brabham,Cooper Climax,15,+3 laps,0
NC,10,Paco Godia,Maserati,10,DNF,0
NC,20,Bruce Halford,Maserati,9,DNF,0
NC,34,Luigi Musso,Ferrari,9,DNF,0
NC,16,Jo Bonnier,Maserati,7,DNF,0
NC,4,Jean Behra,Maserati,4,DNF,0
NC,22,Roy Salvadori,Cooper Climax,3,DNF,0
NC,12,Luigi Piotti,Maserati,1,DNF,0
NC,18,Horace Gould,Maserati,1,DNF,0
NC,28,Tony Brooks,Vanwall,1,DNF,0
