Grand Prix,Date,Winner,Car,Laps,Time
South Africa,07 Mar 1970,Jack Brabham,Brabham Ford,80,1:49:34.600
Spain,19 Apr 1970,Jackie Stewart,March Ford,90,2:10:58.200
Monaco,10 May 1970,Jochen Rindt,Lotus Ford,80,1:54:36.600
Belgium,07 Jun 1970,Pedro Rodriguez,BRM,28,1:38:09.900
Netherlands,21 Jun 1970,Jochen Rindt,Lotus Ford,80,1:50:43.410
France,05 Jul 1970,Jochen Rindt,Lotus Ford,38,1:55:57.000
Great Britain,18 Jul 1970,Jochen Rindt,Lotus Ford,80,1:57:02.000
Germany,02 Aug 1970,Jochen Rindt,Lotus Ford,50,1:42:00.300
Austria,16 Aug 1970,Jacky Ickx,Ferrari,60,1:42:17.320
Italy,06 Sep 1970,Clay Regazzoni,Ferrari,68,1:39:06.880
Canada,20 Sep 1970,Jacky Ickx,Ferrari,90,2:21:18.400
United States,04 Oct 1970,Emerson Fittipaldi,Lotus Ford,108,1:57:32.790
Mexico,25 Oct 1970,Jacky Ickx,Ferrari,65,1:53:28.360
