POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,3,Jacky Ickx,Ferrari,65,1:53:28.360,9
2,4,Clay Regazzoni,Ferrari,65,+45.460s,6
3,8,Denny Hulme,McLaren Ford,65,+45.970s,4
4,12,Chris Amon,March Ford,65,+47.050s,3
5,6,Jean-Pierre Beltoise,Matra,65,+50.110s,2
6,19,Pedro Rodriguez,BRM,65,+84.760s,1
7,20,Jackie Oliver,BRM,64,+1 lap,0
8,17,John Surtees,Surtees Ford,64,+1 lap,0
9,7,Henri Pescarolo,Matra,61,+4 laps,0
NC,23,Reine Wisell,Lotus Ford,56,+9 laps,0
NC,15,Jack Brabham,Brabham Ford,52,DNF,0
NC,1,Jackie Stewart,Tyrrell Ford,33,DNF,0
NC,9,Peter Gethin,McLaren Ford,27,DNF,0
NC,16,Rolf Stommelen,Brabham Ford,15,DNF,0
NC,2,Francois Cevert,March Ford,8,DNF,0
NC,14,Graham Hill,Lotus Ford,4,DNF,0
NC,11,Jo Siffert,March Ford,3,DNF,0
NC,24,Emerson Fittipaldi,Lotus Ford,1,DNF,0
