POS,DRIVER,NATIONALITY,CAR,PTS
1,Emerson Fittipaldi,BRA,Lotus Ford,61
2,Jackie Stewart,GBR,Tyrrell Ford,45
3,Denny Hulme,NZL,McLaren Ford,39
4,Jacky Ickx,BEL,Ferrari,27
5,Peter Revson,USA,McLaren Ford,23
6,Francois Cevert,FRA,Tyrrell Ford,15
6,Clay Regazzoni,SUI,Ferrari,15
8,Mike Hailwood,GBR,Surtees Ford,13
9,Ronnie Peterson,SWE,March Ford,12
9,Chris Amon,NZL,Matra,12
11,Jean-Pierre Beltoise,FRA,BRM,9
12,Mario Andretti,USA,Ferrari,4
12,Howden Ganley,NZL,BRM,4
12,Brian Redman,GBR,BRM,4
12,Graham Hill,GBR,Brabham Ford,4
16,Andrea de Adamich,ITA,Surtees Ford,3
16,Carlos Reutemann,ARG,Brabham Ford,3
16,Carlos Pace,BRA,March Ford,3
19,Tim Schenken,AUS,Surtees Ford,2
20,Arturo Merzario,ITA,Ferrari,1
20,Peter Gethin,GBR,BRM,1
