GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Argentina,23 Jan 1972,Tyrrell Ford,DNF,0
South Africa,04 Mar 1972,Tyrrell Ford,9,0
Spain,01 May 1972,Tyrrell Ford,DNF,0
Monaco,14 May 1972,Tyrrell Ford,DNC,0
Belgium,04 Jun 1972,Tyrrell Ford,2,6
France,02 Jul 1972,Tyrrell Ford,4,3
Great Britain,15 Jul 1972,Tyrrell Ford,DNF,0
Germany,30 Jul 1972,Tyrrell Ford,10,0
Austria,13 Aug 1972,Tyrrell Ford,9,0
Italy,10 Sep 1972,Tyrrell Ford,DNF,0
Canada,24 Sep 1972,Tyrrell Ford,DNF,0
United States,08 Oct 1972,Tyrrell Ford,2,6
