GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Argentina,23 Jan 1972,Brabham Ford,DNF,0
South Africa,04 Mar 1972,Brabham Ford,6,1
Spain,01 May 1972,Brabham Ford,10,0
Monaco,14 May 1972,Brabham Ford,12,0
Belgium,04 Jun 1972,Brabham Ford,DNF,0
France,02 Jul 1972,Brabham Ford,10,0
Great Britain,15 Jul 1972,Brabham Ford,DNF,0
Germany,30 Jul 1972,Brabham Ford,6,1
Austria,13 Aug 1972,Brabham Ford,DNF,0
Italy,10 Sep 1972,Brabham Ford,5,2
Canada,24 Sep 1972,Brabham Ford,8,0
United States,08 Oct 1972,Brabham Ford,11,0
