GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Argentina,28 Jan 1973,Tyrrell Ford,3,4
Brazil,11 Feb 1973,Tyrrell Ford,2,6
South Africa,03 Mar 1973,Tyrrell Ford,1,9
Spain,29 Apr 1973,Tyrrell Ford,DNF,0
Belgium,20 May 1973,Tyrrell Ford,1,9
Monaco,03 Jun 1973,Tyrrell Ford,1,9
Sweden,17 Jun 1973,Tyrrell Ford,5,2
France,01 Jul 1973,Tyrrell Ford,4,3
Great Britain,14 Jul 1973,Tyrrell Ford,10,0
Netherlands,29 Jul 1973,Tyrrell Ford,1,9
Germany,05 Aug 1973,Tyrrell Ford,1,9
Austria,19 Aug 1973,Tyrrell Ford,2,6
Italy,09 Sep 1973,Tyrrell Ford,4,3
Canada,23 Sep 1973,Tyrrell Ford,5,2
