GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Argentina,13 Jan 1974,McLaren Ford,1,9
Brazil,27 Jan 1974,McLaren Ford,12,0
South Africa,30 Mar 1974,McLaren Ford,9,0
Spain,28 Apr 1974,McLaren Ford,6,1
Belgium,12 May 1974,McLaren Ford,6,1
Monaco,26 May 1974,McLaren Ford,DNF,0
Sweden,09 Jun 1974,McLaren Ford,DNF,0
Netherlands,23 Jun 1974,McLaren Ford,DNF,0
France,07 Jul 1974,McLaren Ford,6,1
Great Britain,20 Jul 1974,McLaren Ford,7,0
Germany,04 Aug 1974,McLaren Ford,DSQ,0
Austria,18 Aug 1974,McLaren Ford,2,6
Italy,08 Sep 1974,McLaren Ford,6,1
Canada,22 Sep 1974,McLaren Ford,6,1
United States,06 Oct 1974,McLaren Ford,DNF,0
