GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Argentina,13 Jan 1974,McLaren Ford,10,0
Brazil,27 Jan 1974,McLaren Ford,1,9
South Africa,30 Mar 1974,McLaren Ford,7,0
Spain,28 Apr 1974,McLaren Ford,3,4
Belgium,12 May 1974,McLaren Ford,1,9
Monaco,26 May 1974,McLaren Ford,5,2
Sweden,09 Jun 1974,McLaren Ford,4,3
Netherlands,23 Jun 1974,McLaren Ford,3,4
France,07 Jul 1974,McLaren Ford,DNF,0
Great Britain,20 Jul 1974,McLaren Ford,2,6
Germany,04 Aug 1974,McLaren Ford,DNF,0
Austria,18 Aug 1974,McLaren Ford,DNF,0
Italy,08 Sep 1974,McLaren Ford,2,6
Canada,22 Sep 1974,McLaren Ford,1,9
United States,06 Oct 1974,McLaren Ford,4,3
