GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Argentina,13 Jan 1974,Shadow Ford,DNF,0
Brazil,27 Jan 1974,Shadow Ford,DNF,0
Spain,28 Apr 1974,Shadow Ford,DNC,0
Belgium,12 May 1974,Shadow Ford,13,0
Monaco,26 May 1974,Shadow Ford,3,4
Sweden,09 Jun 1974,Shadow Ford,5,2
Netherlands,23 Jun 1974,Shadow Ford,DNF,0
France,07 Jul 1974,Shadow Ford,12,0
Great Britain,20 Jul 1974,Shadow Ford,DNF,0
Germany,04 Aug 1974,Shadow Ford,8,0
Austria,18 Aug 1974,Shadow Ford,8,0
Italy,08 Sep 1974,Shadow Ford,DNF,0
Canada,22 Sep 1974,Shadow Ford,DNF,0
United States,06 Oct 1974,Shadow Ford,10,0
