GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Argentina,12 Jan 1975,Ferrari,4,3
Brazil,26 Jan 1975,Ferrari,4,3
South Africa,01 Mar 1975,Ferrari,DNF,0
Spain,27 Apr 1975,Ferrari,DNC,0
Monaco,11 May 1975,Ferrari,DNF,0
Belgium,25 May 1975,Ferrari,5,2
Sweden,08 Jun 1975,Ferrari,3,4
Netherlands,22 Jun 1975,Ferrari,3,4
France,06 Jul 1975,Ferrari,DNF,0
Great Britain,19 Jul 1975,Ferrari,13,0
Germany,03 Aug 1975,Ferrari,DNF,0
Austria,17 Aug 1975,Ferrari,7,0
Italy,07 Sep 1975,Ferrari,1,9
United States,05 Oct 1975,Ferrari,DNF,0
