GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Argentina,12 Jan 1975,Hesketh Ford,2,6
Brazil,26 Jan 1975,Hesketh Ford,6,1
South Africa,01 Mar 1975,Hesketh Ford,DNF,0
Spain,27 Apr 1975,Hesketh Ford,DNF,0
Monaco,11 May 1975,Hesketh Ford,DNF,0
Belgium,25 May 1975,Hesketh Ford,DNF,0
Sweden,08 Jun 1975,Hesketh Ford,DNF,0
Netherlands,22 Jun 1975,Hesketh Ford,1,9
France,06 Jul 1975,Hesketh Ford,2,6
Great Britain,19 Jul 1975,Hesketh Ford,DNF,3
Germany,03 Aug 1975,Hesketh Ford,DNF,0
Austria,17 Aug 1975,Hesketh Ford,2,3
Italy,07 Sep 1975,Hesketh Ford,5,2
United States,05 Oct 1975,Hesketh Ford,4,3
