GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Argentina,12 Jan 1975,Shadow Ford,DNF,0
Brazil,26 Jan 1975,Shadow Ford,DNF,0
South Africa,01 Mar 1975,Shadow Ford,9,0
Spain,27 Apr 1975,Shadow Ford,DNF,0
Monaco,11 May 1975,Shadow Ford,DNF,0
Belgium,25 May 1975,Shadow Ford,6,1
Sweden,08 Jun 1975,Shadow Ford,DNF,0
Netherlands,22 Jun 1975,Shadow Ford,6,1
France,06 Jul 1975,Shadow Ford,DNF,0
Great Britain,19 Jul 1975,Shadow Ford,DNF,0
Germany,03 Aug 1975,Shadow Ford,4,3
Austria,17 Aug 1975,Shadow Ford,3,2
Italy,07 Sep 1975,Shadow Ford,6,1
United States,05 Oct 1975,Shadow Ford,DNC,0
