GRAND PRIX,DATE,CAR,RACE POSITION,PTS
South Africa,06 Mar 1976,Lotus Ford,DNF,0
USA West,28 Mar 1976,Lotus Ford,DNF,0
Spain,02 May 1976,Lotus Ford,3,4
Belgium,16 May 1976,Lotus Ford,DNF,0
Monaco,30 May 1976,Lotus Ford,DNF,0
Sweden,13 Jun 1976,Lotus Ford,DNF,0
France,04 Jul 1976,Lotus Ford,DNF,0
Great Britain,18 Jul 1976,Lotus Ford,DNF,0
Germany,01 Aug 1976,Lotus Ford,5,2
Austria,15 Aug 1976,Lotus Ford,3,4
Netherlands,29 Aug 1976,Lotus Ford,DNF,0
Italy,12 Sep 1976,Lotus Ford,13,0
Canada,03 Oct 1976,Lotus Ford,12,0
USA East,10 Oct 1976,Lotus Ford,DNF,0
Japan,24 Oct 1976,Lotus Ford,6,1
