POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,28,John Watson,Penske Ford,54,1:30:07.860,9
2,26,Jacques Laffite,Ligier Matra,54,+10.790s,6
3,6,Gunnar Nilsson,Lotus Ford,54,+11.980s,4
4,11,James Hunt,McLaren Ford,54,+12.440s,3
5,5,Mario Andretti,Lotus Ford,54,+21.490s,2
6,10,Ronnie Peterson,March Ford,54,+34.340s,1
7,12,Jochen Mass,McLaren Ford,54,+59.450s,0
8,24,Harald Ertl,Hesketh Ford,53,+1 lap,0
9,38,Henri Pescarolo,Surtees Ford,52,+2 laps,0
10,18,Brett Lunger,Surtees Ford,51,DNF,0
11,39,Alessandro Pesenti-Rossi,Tyrrell Ford,51,+3 laps,0
12,33,Lella Lombardi,null,50,+4 laps,0
NC,22,Hans Binder,Ensign Ford,47,DNF,0
NC,32,Loris Kessel,null,44,+10 laps,0
NC,9,Vittorio Brambilla,March Ford,43,DNF,0
NC,30,Emerson Fittipaldi,Fittipaldi Ford,43,DNF,0
NC,17,Jean-Pierre Jarier,Shadow Ford,40,DNF,0
NC,8,Carlos Pace,Brabham Alfa Romeo,40,DNF,0
NC,19,Alan Jones,Surtees Ford,40,DNF,0
NC,34,Hans-Joachim Stuck,March Ford,26,DNF,0
NC,4,Patrick Depailler,Tyrrell Ford,24,DNF,0
NC,20,Arturo Merzario,Wolf-Williams,17,DNF,0
NC,16,Tom Pryce,Shadow Ford,14,DNF,0
NC,3,Jody Scheckter,Tyrrell Ford,14,DNF,0
NC,7,Carlos Reutemann,Brabham Alfa Romeo,0,DNF,0
