GRAND PRIX,DATE,CAR,RACE POSITION,PTS
South Africa,04 Mar 1978,Renault,DNF,0
USA West,02 Apr 1978,Renault,DNF,0
Monaco,07 May 1978,Renault,10,0
Belgium,21 May 1978,Renault,DNC,0
Spain,04 Jun 1978,Renault,13,0
Sweden,17 Jun 1978,Renault,DNF,0
France,02 Jul 1978,Renault,DNF,0
Great Britain,16 Jul 1978,Renault,DNF,0
Germany,30 Jul 1978,Renault,DNF,0
Austria,13 Aug 1978,Renault,DNF,0
Netherlands,27 Aug 1978,Renault,DNF,0
Italy,10 Sep 1978,Renault,DNF,0
USA East,01 Oct 1978,Renault,4,3
Canada,08 Oct 1978,Renault,12,0
