GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Argentina,15 Jan 1978,Brabham Alfa Romeo,DNF,0
Brazil,29 Jan 1978,Brabham Alfa Romeo,8,0
South Africa,04 Mar 1978,Brabham Alfa Romeo,3,4
USA West,02 Apr 1978,Brabham Alfa Romeo,DNF,0
Monaco,07 May 1978,Brabham Alfa Romeo,4,3
Belgium,21 May 1978,Brabham Alfa Romeo,DNF,0
Spain,04 Jun 1978,Brabham Alfa Romeo,5,2
Sweden,17 Jun 1978,Brabham Alfa Romeo,DNF,0
France,02 Jul 1978,Brabham Alfa Romeo,4,3
Great Britain,16 Jul 1978,Brabham Alfa Romeo,3,4
Germany,30 Jul 1978,Brabham Alfa Romeo,7,0
Austria,13 Aug 1978,Brabham Alfa Romeo,7,0
Netherlands,27 Aug 1978,Brabham Alfa Romeo,4,3
Italy,10 Sep 1978,Brabham Alfa Romeo,2,6
USA East,01 Oct 1978,Brabham Alfa Romeo,DNF,0
Canada,08 Oct 1978,Brabham Alfa Romeo,DNF,0
