GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Argentina,21 Jan 1979,Williams Ford,9,0
Brazil,04 Feb 1979,Williams Ford,DNF,0
South Africa,03 Mar 1979,Williams Ford,DNF,0
USA West,08 Apr 1979,Williams Ford,3,4
Spain,29 Apr 1979,Williams Ford,DNF,0
Belgium,13 May 1979,Williams Ford,DNF,0
Monaco,27 May 1979,Williams Ford,DNF,0
France,01 Jul 1979,Williams Ford,4,3
Great Britain,14 Jul 1979,Williams Ford,DNF,0
Germany,29 Jul 1979,Williams Ford,1,9
Austria,12 Aug 1979,Williams Ford,1,9
Netherlands,26 Aug 1979,Williams Ford,1,9
Italy,09 Sep 1979,Williams Ford,9,0
Canada,30 Sep 1979,Williams Ford,1,9
USA East,07 Oct 1979,Williams Ford,DNF,0
