GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Argentina,21 Jan 1979,Tyrrell Ford,DNF,0
Brazil,04 Feb 1979,Tyrrell Ford,4,3
South Africa,03 Mar 1979,Tyrrell Ford,DNF,0
USA West,08 Apr 1979,Tyrrell Ford,DSQ,0
Spain,29 Apr 1979,Tyrrell Ford,6,1
Belgium,13 May 1979,Tyrrell Ford,3,4
Monaco,27 May 1979,Tyrrell Ford,DNF,0
France,01 Jul 1979,Tyrrell Ford,DNF,0
Great Britain,14 Jul 1979,Tyrrell Ford,10,0
Germany,29 Jul 1979,Tyrrell Ford,9,0
Austria,12 Aug 1979,Tyrrell Ford,7,0
Netherlands,26 Aug 1979,Tyrrell Ford,DNF,0
Italy,09 Sep 1979,Tyrrell Ford,10,0
Canada,30 Sep 1979,Tyrrell Ford,5,2
USA East,07 Oct 1979,Tyrrell Ford,3,4
