GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Argentina,21 Jan 1979,Arrows Ford,8,0
Brazil,04 Feb 1979,Arrows Ford,7,0
South Africa,03 Mar 1979,Arrows Ford,12,0
USA West,08 Apr 1979,Arrows Ford,9,0
Spain,29 Apr 1979,Arrows Ford,8,0
Belgium,13 May 1979,Arrows Ford,DNF,0
Monaco,27 May 1979,Arrows Ford,6,1
France,01 Jul 1979,Arrows Ford,15,0
Great Britain,14 Jul 1979,Arrows Ford,DNF,0
Germany,29 Jul 1979,Arrows Ford,6,1
Austria,12 Aug 1979,Arrows Ford,DNF,0
Netherlands,26 Aug 1979,Arrows Ford,6,1
Italy,09 Sep 1979,Arrows Ford,DNF,0
