GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Argentina,21 Jan 1979,Ferrari,DNF,0
Brazil,04 Feb 1979,Ferrari,6,1
South Africa,03 Mar 1979,Ferrari,2,6
USA West,08 Apr 1979,Ferrari,2,6
Spain,29 Apr 1979,Ferrari,4,3
Belgium,13 May 1979,Ferrari,1,9
Monaco,27 May 1979,Ferrari,1,9
France,01 Jul 1979,Ferrari,7,0
Great Britain,14 Jul 1979,Ferrari,5,2
Germany,29 Jul 1979,Ferrari,4,3
Austria,12 Aug 1979,Ferrari,4,3
Netherlands,26 Aug 1979,Ferrari,2,6
Italy,09 Sep 1979,Ferrari,1,9
Canada,30 Sep 1979,Ferrari,4,3
USA East,07 Oct 1979,Ferrari,DNF,0
