POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,12,Gilles Villeneuve,Ferrari,59,1:52:17.734,9
2,16,Rene Arnoux,Renault,59,+48.787s,6
3,3,Didier Pironi,Tyrrell Ford,59,+53.199s,4
4,18,Elio de Angelis,Shadow Ford,59,+90.512s,3
5,9,Hans-Joachim Stuck,ATS Ford,59,+101.259s,2
6,7,John Watson,McLaren Ford,58,+1 lap,1
7,14,Emerson Fittipaldi,Fittipaldi Ford,54,+5 laps,0
8,6,Nelson Piquet,Brabham Ford,53,DNF,0
NC,33,Derek Daly,Tyrrell Ford,52,DNF,0
NC,11,Jody Scheckter,Ferrari,48,DNF,0
NC,29,Riccardo Patrese,Arrows Ford,44,DNF,0
NC,27,Alan Jones,Williams Ford,36,DNF,0
NC,22,Marc Surer,Ensign Ford,32,DNF,0
NC,28,Clay Regazzoni,Williams Ford,29,DNF,0
NC,5,Ricardo Zunino,Brabham Ford,25,DNF,0
NC,15,Jean-Pierre Jabouille,Renault,24,DNF,0
NC,8,Patrick Tambay,McLaren Ford,20,DNF,0
NC,20,Keke Rosberg,Wolf Ford,20,DNF,0
NC,4,Jean-Pierre Jarier,Tyrrell Ford,18,DNF,0
NC,1,Mario Andretti,Lotus Ford,16,DNF,0
NC,2,Carlos Reutemann,Lotus Ford,6,DNF,0
NC,26,Jacques Laffite,Ligier Ford,3,DNF,0
NC,25,Jacky Ickx,Ligier Ford,2,DNF,0
NC,35,Bruno Giacomelli,Alfa Romeo,0,DNF,0
