POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,12,Gilles Villeneuve,Ferrari,80,1:50:25.400,9
2,11,Jody Scheckter,Ferrari,80,+29.380s,6
3,27,Alan Jones,Williams Ford,80,+59.690s,4
4,1,Mario Andretti,Lotus Ford,80,+64.330s,3
5,25,Patrick Depailler,Ligier Ford,80,+83.520s,2
6,4,Jean-Pierre Jarier,Tyrrell Ford,79,+1 lap,1
7,18,Elio de Angelis,Shadow Ford,78,+2 laps,0
8,6,Nelson Piquet,Brabham Alfa Romeo,78,+2 laps,0
9,30,Jochen Mass,Arrows Ford,78,+2 laps,0
DQ,3,Didier Pironi,Tyrrell Ford,72,DSQ,0
NC,31,Hector Rebaque,Lotus Ford,71,DNF,0
NC,22,Derek Daly,Ensign Ford,69,DNF,0
NC,7,John Watson,McLaren Ford,62,DNF,0
DQ,9,Hans-Joachim Stuck,ATS Ford,49,DSQ,0
NC,28,Clay Regazzoni,Williams Ford,48,DNF,0
NC,17,Jan Lammers,Shadow Ford,47,DNF,0
NC,29,Riccardo Patrese,Arrows Ford,40,DNF,0
NC,2,Carlos Reutemann,Lotus Ford,21,DNF,0
NC,14,Emerson Fittipaldi,Fittipaldi Ford,19,DNF,0
NC,24,Arturo Merzario,Merzario Ford,13,DNF,0
NC,26,Jacques Laffite,Ligier Ford,8,DNF,0
NC,20,James Hunt,Wolf Ford,0,DNF,0
NC,5,Niki Lauda,Brabham Alfa Romeo,0,DNF,0
NC,8,Patrick Tambay,McLaren Ford,0,DNF,0
NC,15,Jean-Pierre Jabouille,Renault,,DNS,0
NC,16,Rene Arnoux,Renault,,DNS,0
