GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Argentina,13 Jan 1980,Ferrari,DNF,0
Brazil,27 Jan 1980,Ferrari,DNF,0
South Africa,01 Mar 1980,Ferrari,DNF,0
USA West,30 Mar 1980,Ferrari,DNF,0
Belgium,04 May 1980,Ferrari,6,1
Monaco,18 May 1980,Ferrari,5,2
France,29 Jun 1980,Ferrari,8,0
Great Britain,13 Jul 1980,Ferrari,DNF,0
Germany,10 Aug 1980,Ferrari,6,1
Austria,17 Aug 1980,Ferrari,8,0
Netherlands,31 Aug 1980,Ferrari,7,0
Italy,14 Sep 1980,Ferrari,DNF,0
Canada,28 Sep 1980,Ferrari,5,2
USA East,05 Oct 1980,Ferrari,DNF,0
