POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,5,Nelson Piquet,Brabham Ford,80,1:50:18.550,9
2,29,Riccardo Patrese,Arrows Ford,80,+49.210s,6
3,20,Emerson Fittipaldi,Fittipaldi Ford,80,+78.560s,4
4,7,John Watson,McLaren Ford,79,+1 lap,3
5,1,Jody Scheckter,Ferrari,79,+1 lap,2
6,25,Didier Pironi,Ligier Ford,79,+1 lap,1
7,30,Jochen Mass,Arrows Ford,79,+1 lap,0
8,4,Derek Daly,Tyrrell Ford,79,+1 lap,0
9,16,Rene Arnoux,Renault,78,+2 laps,0
10,15,Jean-Pierre Jabouille,Renault,71,+9 laps,0
NC,21,Keke Rosberg,Fittipaldi Ford,58,DNF,0
NC,14,Clay Regazzoni,Ensign Ford,50,DNF,0
NC,23,Bruno Giacomelli,Alfa Romeo,49,DNF,0
NC,27,Alan Jones,Williams Ford,47,DNF,0
NC,2,Gilles Villeneuve,Ferrari,46,DNF,0
NC,22,Patrick Depailler,Alfa Romeo,40,DNF,0
NC,26,Jacques Laffite,Ligier Ford,36,DNF,0
NC,31,Eddie Cheever,Osella Ford,11,DNF,0
NC,28,Carlos Reutemann,Williams Ford,3,DNF,0
NC,3,Jean-Pierre Jarier,Tyrrell Ford,3,DNF,0
NC,12,Elio de Angelis,Lotus Ford,3,DNF,0
NC,6,Ricardo Zunino,Brabham Ford,0,DNF,0
NC,11,Mario Andretti,Lotus Ford,0,DNF,0
NC,9,Jan Lammers,ATS Ford,0,DNF,0
