GRAND PRIX,DATE,CAR,RACE POSITION,PTS
USA West,15 Mar 1981,Ensign Ford,DNF,0
Brazil,29 Mar 1981,Ensign Ford,4,3
Argentina,12 Apr 1981,Ensign Ford,DNF,0
San Marino,03 May 1981,Ensign Ford,9,0
Belgium,17 May 1981,Ensign Ford,11,0
Monaco,31 May 1981,Ensign Ford,6,1
France,05 Jul 1981,Theodore Ford,12,0
Great Britain,18 Jul 1981,Theodore Ford,DNF,0
Germany,02 Aug 1981,Theodore Ford,DNF,0
Austria,16 Aug 1981,Theodore Ford,DNF,0
Netherlands,30 Aug 1981,Theodore Ford,8,0
Canada,27 Sep 1981,Theodore Ford,9,0
Las Vegas,17 Oct 1981,Theodore Ford,DNF,0
