GRAND PRIX,DATE,CAR,RACE POSITION,PTS
USA West,15 Mar 1981,Renault,8,0
Brazil,29 Mar 1981,Renault,DNF,0
Argentina,12 Apr 1981,Renault,5,2
San Marino,03 May 1981,Renault,8,0
Monaco,31 May 1981,Renault,DNF,0
Spain,21 Jun 1981,Renault,9,0
France,05 Jul 1981,Renault,4,3
Great Britain,18 Jul 1981,Renault,DNF,0
Germany,02 Aug 1981,Renault,13,0
Austria,16 Aug 1981,Renault,2,6
Netherlands,30 Aug 1981,Renault,DNF,0
Italy,13 Sep 1981,Renault,DNF,0
Canada,27 Sep 1981,Renault,DNF,0
Las Vegas,17 Oct 1981,Renault,DNF,0
