GRAND PRIX,DATE,CAR,RACE POSITION,PTS
South Africa,23 Jan 1982,Theodore Ford,14,0
Brazil,21 Mar 1982,Theodore Ford,DNF,0
USA West,04 Apr 1982,Theodore Ford,DNF,0
Belgium,09 May 1982,Williams Ford,DNF,0
Monaco,23 May 1982,Williams Ford,DNF,1
Detroit,06 Jun 1982,Williams Ford,5,2
Canada,13 Jun 1982,Williams Ford,DNF,0
Netherlands,03 Jul 1982,Williams Ford,5,2
Great Britain,18 Jul 1982,Williams Ford,5,2
France,25 Jul 1982,Williams Ford,7,0
Germany,08 Aug 1982,Williams Ford,DNF,0
Austria,15 Aug 1982,Williams Ford,DNF,0
Switzerland,29 Aug 1982,Williams Ford,9,0
Italy,12 Sep 1982,Williams Ford,DNF,0
Las Vegas,25 Sep 1982,Williams Ford,6,1
