GRAND PRIX,DATE,CAR,RACE POSITION,PTS
South Africa,23 Jan 1982,Lotus Ford,8,0
Brazil,21 Mar 1982,Lotus Ford,DNF,0
USA West,04 Apr 1982,Lotus Ford,5,2
Belgium,09 May 1982,Lotus Ford,4,3
Monaco,23 May 1982,Lotus Ford,5,2
Detroit,06 Jun 1982,Lotus Ford,DNF,0
Canada,13 Jun 1982,Lotus Ford,4,3
Netherlands,03 Jul 1982,Lotus Ford,DNF,0
Great Britain,18 Jul 1982,Lotus Ford,4,3
France,25 Jul 1982,Lotus Ford,DNF,0
Germany,08 Aug 1982,Lotus Ford,DNF,0
Austria,15 Aug 1982,Lotus Ford,1,9
Switzerland,29 Aug 1982,Lotus Ford,6,1
Italy,12 Sep 1982,Lotus Ford,DNF,0
Las Vegas,25 Sep 1982,Lotus Ford,DNF,0
