GRAND PRIX,DATE,CAR,RACE POSITION,PTS
South Africa,23 Jan 1982,ATS Ford,10,0
Brazil,21 Mar 1982,ATS Ford,5,2
USA West,04 Apr 1982,ATS Ford,DNF,0
San Marino,25 Apr 1982,ATS Ford,DSQ,0
Belgium,09 May 1982,ATS Ford,DNF,0
Monaco,23 May 1982,ATS Ford,DNF,0
Detroit,06 Jun 1982,ATS Ford,DNF,0
Netherlands,03 Jul 1982,ATS Ford,12,0
France,25 Jul 1982,ATS Ford,11,0
Germany,08 Aug 1982,ATS Ford,DNF,0
Austria,15 Aug 1982,ATS Ford,DNF,0
Switzerland,29 Aug 1982,ATS Ford,DNF,0
Las Vegas,25 Sep 1982,ATS Ford,DNC,0
