GRAND PRIX,DATE,CAR,RACE POSITION,PTS
South Africa,23 Jan 1982,McLaren Ford,4,3
Brazil,21 Mar 1982,McLaren Ford,DNF,0
USA West,04 Apr 1982,McLaren Ford,1,9
Belgium,09 May 1982,McLaren Ford,DSQ,0
Monaco,23 May 1982,McLaren Ford,DNF,0
Detroit,06 Jun 1982,McLaren Ford,DNF,0
Canada,13 Jun 1982,McLaren Ford,DNF,0
Netherlands,03 Jul 1982,McLaren Ford,4,3
Great Britain,18 Jul 1982,McLaren Ford,1,9
France,25 Jul 1982,McLaren Ford,8,0
Austria,15 Aug 1982,McLaren Ford,5,2
Switzerland,29 Aug 1982,McLaren Ford,3,4
Italy,12 Sep 1982,McLaren Ford,DNF,0
Las Vegas,25 Sep 1982,McLaren Ford,DNF,0
