GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Brazil,13 Mar 1983,Alfa Romeo,DNF,0
USA West,27 Mar 1983,Alfa Romeo,DNF,0
France,17 Apr 1983,Alfa Romeo,DNF,0
San Marino,01 May 1983,Alfa Romeo,DNF,0
Monaco,15 May 1983,Alfa Romeo,6,1
Belgium,22 May 1983,Alfa Romeo,DNF,0
Detroit,05 Jun 1983,Alfa Romeo,12,0
Canada,12 Jun 1983,Alfa Romeo,10,0
Great Britain,16 Jul 1983,Alfa Romeo,7,0
Germany,07 Aug 1983,Alfa Romeo,DNF,0
Austria,14 Aug 1983,Alfa Romeo,DNF,0
Netherlands,28 Aug 1983,Alfa Romeo,5,2
Italy,11 Sep 1983,Alfa Romeo,DNF,0
Europe,25 Sep 1983,Alfa Romeo,DNF,0
South Africa,15 Oct 1983,Alfa Romeo,DNF,0
