GRAND PRIX,DATE,CAR,RACE POSITION,PTS
San Marino,03 May 1987,March Ford,DNF,0
Belgium,17 May 1987,March Ford,DNF,0
Monaco,31 May 1987,March Ford,6,1
Detroit,21 Jun 1987,March Ford,DNF,0
France,05 Jul 1987,March Ford,DNF,0
Great Britain,12 Jul 1987,March Ford,DNF,0
Germany,26 Jul 1987,March Ford,DNF,0
Hungary,09 Aug 1987,March Ford,10,0
Austria,16 Aug 1987,March Ford,11,0
Italy,06 Sep 1987,March Ford,13,0
Portugal,20 Sep 1987,March Ford,9,0
Spain,27 Sep 1987,March Ford,12,0
Mexico,18 Oct 1987,March Ford,DNF,0
Japan,01 Nov 1987,March Ford,DNF,0
Australia,15 Nov 1987,March Ford,DNF,0
