GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Brazil,12 Apr 1987,Tyrrell Ford,10,0
San Marino,03 May 1987,Tyrrell Ford,DNF,0
Belgium,17 May 1987,Tyrrell Ford,DNS,0
Monaco,31 May 1987,Tyrrell Ford,5,2
Detroit,21 Jun 1987,Tyrrell Ford,11,0
France,05 Jul 1987,Tyrrell Ford,7,0
Great Britain,12 Jul 1987,Tyrrell Ford,8,0
Germany,26 Jul 1987,Tyrrell Ford,5,2
Hungary,09 Aug 1987,Tyrrell Ford,7,0
Austria,16 Aug 1987,Tyrrell Ford,15,0
Italy,06 Sep 1987,Tyrrell Ford,14,0
Portugal,20 Sep 1987,Tyrrell Ford,10,0
Spain,27 Sep 1987,Tyrrell Ford,DNF,0
Mexico,18 Oct 1987,Tyrrell Ford,7,0
Japan,01 Nov 1987,Tyrrell Ford,8,0
Australia,15 Nov 1987,Tyrrell Ford,4,3
