GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Brazil,12 Apr 1987,Lotus Honda,7,0
San Marino,03 May 1987,Lotus Honda,6,1
Belgium,17 May 1987,Lotus Honda,5,2
Monaco,31 May 1987,Lotus Honda,10,0
Detroit,21 Jun 1987,Lotus Honda,DNF,0
France,05 Jul 1987,Lotus Honda,DNC,0
Great Britain,12 Jul 1987,Lotus Honda,4,3
Germany,26 Jul 1987,Lotus Honda,DNF,0
Hungary,09 Aug 1987,Lotus Honda,DNF,0
Austria,16 Aug 1987,Lotus Honda,13,0
Italy,06 Sep 1987,Lotus Honda,11,0
Portugal,20 Sep 1987,Lotus Honda,8,0
Spain,27 Sep 1987,Lotus Honda,9,0
Mexico,18 Oct 1987,Lotus Honda,DNF,0
Japan,01 Nov 1987,Lotus Honda,6,1
Australia,15 Nov 1987,Lotus Honda,DNF,0
