GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Brazil,12 Apr 1987,Benetton Ford,DNF,0
San Marino,03 May 1987,Benetton Ford,DNF,0
Belgium,17 May 1987,Benetton Ford,DNF,0
Monaco,31 May 1987,Benetton Ford,8,0
Detroit,21 Jun 1987,Benetton Ford,DNF,0
France,05 Jul 1987,Benetton Ford,5,2
Great Britain,12 Jul 1987,Benetton Ford,6,1
Germany,26 Jul 1987,Benetton Ford,DNF,0
Hungary,09 Aug 1987,Benetton Ford,DNF,0
Austria,16 Aug 1987,Benetton Ford,3,4
Italy,06 Sep 1987,Benetton Ford,7,0
Portugal,20 Sep 1987,Benetton Ford,DNF,3
Spain,27 Sep 1987,Benetton Ford,DNF,0
Mexico,18 Oct 1987,Benetton Ford,5,2
Japan,01 Nov 1987,Benetton Ford,DNF,0
Australia,15 Nov 1987,Benetton Ford,DNF,0
