GRAND PRIX,DATE,CAR,RACE POSITION,PTS
San Marino,01 May 1988,March Judd,15,0
Monaco,15 May 1988,March Judd,DNF,0
Mexico,29 May 1988,March Judd,DNF,0
Canada,12 Jun 1988,March Judd,DNF,0
Detroit,19 Jun 1988,March Judd,DNF,0
France,03 Jul 1988,March Judd,8,0
Great Britain,10 Jul 1988,March Judd,4,3
Germany,24 Jul 1988,March Judd,8,0
Hungary,07 Aug 1988,March Judd,5,2
Belgium,28 Aug 1988,March Judd,DNF,0
Italy,11 Sep 1988,March Judd,8,0
Portugal,25 Sep 1988,March Judd,DNF,0
Spain,02 Oct 1988,March Judd,7,0
Japan,30 Oct 1988,March Judd,10,0
Australia,13 Nov 1988,March Judd,DNF,0
