GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Brazil,03 Apr 1988,Benetton Ford,7,0
San Marino,01 May 1988,Benetton Ford,4,3
Monaco,15 May 1988,Benetton Ford,8,0
Mexico,29 May 1988,Benetton Ford,8,0
Canada,12 Jun 1988,Benetton Ford,3,4
Detroit,19 Jun 1988,Benetton Ford,3,4
France,03 Jul 1988,Benetton Ford,DNF,0
Great Britain,10 Jul 1988,Benetton Ford,DNF,0
Germany,24 Jul 1988,Benetton Ford,6,1
Hungary,07 Aug 1988,Benetton Ford,3,4
Belgium,28 Aug 1988,Benetton Ford,DSQ,0
Italy,11 Sep 1988,Benetton Ford,6,1
Portugal,25 Sep 1988,Benetton Ford,3,4
Spain,02 Oct 1988,Benetton Ford,9,0
Japan,30 Oct 1988,Benetton Ford,3,4
Australia,13 Nov 1988,Benetton Ford,5,2
