GRAND PRIX,DATE,CAR,RACE POSITION,PTS
San Marino,23 Apr 1989,Dallara Ford,7,0
Monaco,07 May 1989,Dallara Ford,4,3
Mexico,28 May 1989,Dallara Ford,13,0
United States,04 Jun 1989,Dallara Ford,DNF,0
Canada,18 Jun 1989,Dallara Ford,6,1
France,09 Jul 1989,Dallara Ford,DNF,0
Germany,30 Jul 1989,Dallara Ford,DNF,0
Hungary,13 Aug 1989,Dallara Ford,7,0
Belgium,27 Aug 1989,Dallara Ford,DNF,0
Italy,10 Sep 1989,Dallara Ford,DNF,0
Portugal,24 Sep 1989,Dallara Ford,DNF,0
Spain,01 Oct 1989,Dallara Ford,DNF,0
Japan,22 Oct 1989,Dallara Ford,9,0
Australia,05 Nov 1989,Dallara Ford,DNF,0
