GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Brazil,26 Mar 1989,Lotus Judd,DNF,0
San Marino,23 Apr 1989,Lotus Judd,DNF,0
Monaco,07 May 1989,Lotus Judd,DNF,0
Mexico,28 May 1989,Lotus Judd,11,0
United States,04 Jun 1989,Lotus Judd,DNF,0
Canada,18 Jun 1989,Lotus Judd,4,3
France,09 Jul 1989,Lotus Judd,8,0
Great Britain,16 Jul 1989,Lotus Judd,4,3
Germany,30 Jul 1989,Lotus Judd,5,2
Hungary,13 Aug 1989,Lotus Judd,6,1
Italy,10 Sep 1989,Lotus Judd,DNF,0
Portugal,24 Sep 1989,Lotus Judd,DNF,0
Spain,01 Oct 1989,Lotus Judd,8,0
Japan,22 Oct 1989,Lotus Judd,4,3
Australia,05 Nov 1989,Lotus Judd,DNF,0
