GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Brazil,26 Mar 1989,Lola Lamborghini,12,0
Monaco,07 May 1989,Lola Lamborghini,DNF,0
Mexico,28 May 1989,Lola Lamborghini,DNF,0
United States,04 Jun 1989,Lola Lamborghini,DNF,0
Canada,18 Jun 1989,Lola Lamborghini,DNF,0
France,09 Jul 1989,Lola Lamborghini,DNF,0
Great Britain,16 Jul 1989,Lola Lamborghini,DNF,0
Germany,30 Jul 1989,Lola Lamborghini,DNF,0
Belgium,27 Aug 1989,Lola Lamborghini,DNF,0
Italy,10 Sep 1989,Lola Lamborghini,DNF,0
Portugal,24 Sep 1989,Lola Lamborghini,9,0
Spain,01 Oct 1989,Lola Lamborghini,6,1
Japan,22 Oct 1989,Lola Lamborghini,DNF,0
Australia,05 Nov 1989,Lola Lamborghini,DNF,0
