GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Brazil,26 Mar 1989,Minardi Ford,DNF,0
San Marino,23 Apr 1989,Minardi Ford,DNF,0
Monaco,07 May 1989,Minardi Ford,DNF,0
Mexico,28 May 1989,Minardi Ford,DNF,0
United States,04 Jun 1989,Minardi Ford,DNF,0
France,09 Jul 1989,Minardi Ford,DNF,0
Great Britain,16 Jul 1989,Minardi Ford,5,2
Germany,30 Jul 1989,Minardi Ford,9,0
Hungary,13 Aug 1989,Minardi Ford,DNF,0
Belgium,27 Aug 1989,Minardi Ford,9,0
Italy,10 Sep 1989,Minardi Ford,7,0
Portugal,24 Sep 1989,Minardi Ford,5,2
Spain,01 Oct 1989,Minardi Ford,DNF,0
Australia,05 Nov 1989,Minardi Ford,6,1
