GRAND PRIX,DRIVER,CAR,TIME
United States,Gerhard Berger,McLaren Honda,1:31.050
Brazil,Gerhard Berger,McLaren Honda,1:19.899
San Marino,Alessandro Nannini,Benetton Ford,1:27.156
Monaco,Ayrton Senna,McLaren Honda,1:24.468
Canada,Gerhard Berger,McLaren Honda,1:22.077
Mexico,Alain Prost,Ferrari,1:17.958
France,Nigel Mansell,Ferrari,1:08.012
Great Britain,Nigel Mansell,Ferrari,1:11.291
Germany,Thierry Boutsen,Williams Renault,1:45.602
Hungary,Riccardo Patrese,Williams Renault,1:22.058
Belgium,Alain Prost,Ferrari,1:55.087
Italy,Ayrton Senna,McLaren Honda,1:26.254
Portugal,Riccardo Patrese,Williams Renault,1:18.306
Spain,Riccardo Patrese,Williams Renault,1:24.513
Japan,Riccardo Patrese,Williams Renault,1:44.233
Australia,Nigel Mansell,Ferrari,1:18.203
