GRAND PRIX,DATE,CAR,RACE POSITION,PTS
United States,11 Mar 1990,Benetton Ford,11,0
Brazil,25 Mar 1990,Benetton Ford,DNF,0
San Marino,13 May 1990,Benetton Ford,3,4
Monaco,27 May 1990,Benetton Ford,DNF,0
Canada,10 Jun 1990,Benetton Ford,DNF,0
Mexico,24 Jun 1990,Benetton Ford,4,3
France,08 Jul 1990,Benetton Ford,DNF,0
Great Britain,15 Jul 1990,Benetton Ford,DNF,0
Germany,29 Jul 1990,Benetton Ford,2,6
Hungary,12 Aug 1990,Benetton Ford,DNF,0
Belgium,26 Aug 1990,Benetton Ford,4,3
Italy,09 Sep 1990,Benetton Ford,8,0
Portugal,23 Sep 1990,Benetton Ford,6,1
Spain,30 Sep 1990,Benetton Ford,3,4
