GRAND PRIX,DATE,CAR,RACE POSITION,PTS
United States,11 Mar 1990,Brabham Judd,5,2
Brazil,25 Mar 1990,Brabham Judd,DNF,0
San Marino,13 May 1990,Brabham Judd,DNF,0
Monaco,27 May 1990,Brabham Judd,DNF,0
Canada,10 Jun 1990,Brabham Judd,7,0
Mexico,24 Jun 1990,Brabham Judd,11,0
France,08 Jul 1990,Brabham Judd,13,0
Great Britain,15 Jul 1990,Brabham Judd,9,0
Hungary,12 Aug 1990,Brabham Judd,DNF,0
Belgium,26 Aug 1990,Brabham Judd,DNF,0
Italy,09 Sep 1990,Brabham Judd,DNF,0
Portugal,23 Sep 1990,Brabham Judd,DNF,0
Spain,30 Sep 1990,Brabham Judd,DNF,0
Australia,04 Nov 1990,Brabham Judd,12,0
