GRAND PRIX,DATE,CAR,RACE POSITION,PTS
United States,10 Mar 1991,McLaren Honda,1,10
Brazil,24 Mar 1991,McLaren Honda,1,10
San Marino,28 Apr 1991,McLaren Honda,1,10
Monaco,12 May 1991,McLaren Honda,1,10
Canada,02 Jun 1991,McLaren Honda,DNF,0
Mexico,16 Jun 1991,McLaren Honda,3,4
France,07 Jul 1991,McLaren Honda,3,4
Great Britain,14 Jul 1991,McLaren Honda,DNF,3
Germany,28 Jul 1991,McLaren Honda,DNF,0
Hungary,11 Aug 1991,McLaren Honda,1,10
Belgium,25 Aug 1991,McLaren Honda,1,10
Italy,08 Sep 1991,McLaren Honda,2,6
Portugal,22 Sep 1991,McLaren Honda,2,6
Spain,29 Sep 1991,McLaren Honda,5,2
Japan,20 Oct 1991,McLaren Honda,2,6
Australia,03 Nov 1991,McLaren Honda,1,5
