GRAND PRIX,DATE,CAR,RACE POSITION,PTS
United States,10 Mar 1991,Benetton Ford,DNF,0
Brazil,24 Mar 1991,Benetton Ford,7,0
San Marino,28 Apr 1991,Benetton Ford,DNF,0
Monaco,12 May 1991,Benetton Ford,4,3
Canada,02 Jun 1991,Benetton Ford,DNF,0
Mexico,16 Jun 1991,Benetton Ford,5,2
France,07 Jul 1991,Benetton Ford,DNF,0
Great Britain,14 Jul 1991,Benetton Ford,DNF,0
Germany,28 Jul 1991,Benetton Ford,8,0
Hungary,11 Aug 1991,Benetton Ford,8,0
Belgium,25 Aug 1991,Benetton Ford,4,3
Italy,08 Sep 1991,Jordan Ford,DNF,0
Portugal,22 Sep 1991,Jordan Ford,10,0
Australia,03 Nov 1991,Minardi Ferrari,16,0
