GRAND PRIX,DATE,CAR,RACE POSITION,PTS
South Africa,01 Mar 1992,Benetton Ford,4,3
Mexico,22 Mar 1992,Benetton Ford,3,4
Brazil,05 Apr 1992,Benetton Ford,3,4
Spain,03 May 1992,Benetton Ford,2,6
San Marino,17 May 1992,Benetton Ford,DNF,0
Monaco,31 May 1992,Benetton Ford,4,3
Canada,14 Jun 1992,Benetton Ford,2,6
France,05 Jul 1992,Benetton Ford,DNF,0
Great Britain,12 Jul 1992,Benetton Ford,4,3
Germany,26 Jul 1992,Benetton Ford,3,4
Hungary,16 Aug 1992,Benetton Ford,DNF,0
Belgium,30 Aug 1992,Benetton Ford,1,10
Italy,13 Sep 1992,Benetton Ford,3,4
Portugal,27 Sep 1992,Benetton Ford,7,0
Japan,25 Oct 1992,Benetton Ford,DNF,0
Australia,08 Nov 1992,Benetton Ford,2,6
