GRAND PRIX,DATE,CAR,RACE POSITION,PTS
South Africa,14 Mar 1993,Minardi Ford,4,3
Brazil,28 Mar 1993,Minardi Ford,DNF,0
Europe,11 Apr 1993,Minardi Ford,7,0
San Marino,25 Apr 1993,Minardi Ford,DNF,0
Spain,09 May 1993,Minardi Ford,8,0
Monaco,23 May 1993,Minardi Ford,5,2
Canada,13 Jun 1993,Minardi Ford,9,0
France,04 Jul 1993,Minardi Ford,8,0
Great Britain,11 Jul 1993,Minardi Ford,DNF,0
Germany,25 Jul 1993,Minardi Ford,11,0
Hungary,15 Aug 1993,Minardi Ford,DNF,0
Belgium,29 Aug 1993,Minardi Ford,DNF,0
Italy,12 Sep 1993,Minardi Ford,8,0
Portugal,26 Sep 1993,Minardi Ford,9,0
