GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Brazil,27 Mar 1994,Larrousse Ford,9,0
Pacific,17 Apr 1994,Larrousse Ford,6,1
San Marino,01 May 1994,Larrousse Ford,DNF,0
Monaco,15 May 1994,Larrousse Ford,10,0
Spain,29 May 1994,Larrousse Ford,DNF,0
Canada,12 Jun 1994,Larrousse Ford,DNF,0
France,03 Jul 1994,Larrousse Ford,DNF,0
Great Britain,10 Jul 1994,Larrousse Ford,DNF,0
Germany,31 Jul 1994,Larrousse Ford,6,1
Hungary,14 Aug 1994,Larrousse Ford,8,0
Belgium,28 Aug 1994,Larrousse Ford,DNF,0
Italy,11 Sep 1994,Larrousse Ford,8,0
Portugal,25 Sep 1994,Larrousse Ford,DNF,0
Europe,16 Oct 1994,Larrousse Ford,DNF,0
Japan,06 Nov 1994,Larrousse Ford,9,0
