GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Brazil,27 Mar 1994,McLaren Peugeot,DNF,0
Pacific,17 Apr 1994,McLaren Peugeot,DNF,0
San Marino,01 May 1994,McLaren Peugeot,3,4
Monaco,15 May 1994,McLaren Peugeot,DNF,0
Spain,29 May 1994,McLaren Peugeot,DNF,0
Canada,12 Jun 1994,McLaren Peugeot,DNF,0
France,03 Jul 1994,McLaren Peugeot,DNF,0
Great Britain,10 Jul 1994,McLaren Peugeot,3,4
Germany,31 Jul 1994,McLaren Peugeot,DNF,0
Belgium,28 Aug 1994,McLaren Peugeot,2,6
Italy,11 Sep 1994,McLaren Peugeot,3,4
Portugal,25 Sep 1994,McLaren Peugeot,3,4
Europe,16 Oct 1994,McLaren Peugeot,3,4
Japan,06 Nov 1994,McLaren Peugeot,7,0
Australia,13 Nov 1994,McLaren Peugeot,DNF,0
