GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Brazil,26 Mar 1995,Ligier Mugen Honda,DNF,0
Argentina,09 Apr 1995,Ligier Mugen Honda,7,0
San Marino,30 Apr 1995,Ligier Mugen Honda,9,0
Spain,14 May 1995,Ligier Mugen Honda,6,1
Monaco,28 May 1995,Ligier Mugen Honda,DNF,0
Canada,11 Jun 1995,Ligier Mugen Honda,4,3
France,02 Jul 1995,Ligier Mugen Honda,8,0
Great Britain,16 Jul 1995,Ligier Mugen Honda,4,3
Germany,30 Jul 1995,Ligier Mugen Honda,DNF,0
Hungary,13 Aug 1995,Ligier Mugen Honda,6,1
Belgium,27 Aug 1995,Ligier Mugen Honda,9,0
Italy,10 Sep 1995,Ligier Mugen Honda,DNF,0
Portugal,24 Sep 1995,Ligier Mugen Honda,DNF,0
Europe,01 Oct 1995,Ligier Mugen Honda,DNF,0
Pacific,22 Oct 1995,Ligier Mugen Honda,8,0
Japan,29 Oct 1995,Ligier Mugen Honda,5,2
Australia,12 Nov 1995,Ligier Mugen Honda,2,6
