GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,09 Mar 1997,Ferrari,DNF,0
Brazil,30 Mar 1997,Ferrari,16,0
Argentina,13 Apr 1997,Ferrari,2,6
San Marino,27 Apr 1997,Ferrari,3,4
Monaco,11 May 1997,Ferrari,3,4
Spain,25 May 1997,Ferrari,12,0
Canada,15 Jun 1997,Ferrari,DNF,0
France,29 Jun 1997,Ferrari,3,4
Great Britain,13 Jul 1997,Ferrari,DNF,0
Germany,27 Jul 1997,Ferrari,DNF,0
Hungary,10 Aug 1997,Ferrari,DNF,0
Belgium,24 Aug 1997,Ferrari,DNF,0
Italy,07 Sep 1997,Ferrari,8,0
Austria,21 Sep 1997,Ferrari,DNF,0
Luxembourg,28 Sep 1997,Ferrari,DNF,0
Japan,12 Oct 1997,Ferrari,3,4
Europe,26 Oct 1997,Ferrari,5,2
