GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,09 Mar 1997,Williams Renault,DNF,0
Brazil,30 Mar 1997,Williams Renault,9,0
Argentina,13 Apr 1997,Williams Renault,DNF,0
San Marino,27 Apr 1997,Williams Renault,1,10
Monaco,11 May 1997,Williams Renault,DNF,0
Spain,25 May 1997,Williams Renault,8,0
Canada,15 Jun 1997,Williams Renault,4,3
France,29 Jun 1997,Williams Renault,2,6
Great Britain,13 Jul 1997,Williams Renault,DNF,0
Germany,27 Jul 1997,Williams Renault,DNF,0
Hungary,10 Aug 1997,Williams Renault,DNF,0
Belgium,24 Aug 1997,Williams Renault,3,4
Italy,07 Sep 1997,Williams Renault,3,4
Austria,21 Sep 1997,Williams Renault,3,4
Luxembourg,28 Sep 1997,Williams Renault,3,4
Japan,12 Oct 1997,Williams Renault,2,6
Europe,26 Oct 1997,Williams Renault,6,1
