GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,09 Mar 1997,Williams Renault,DNF,0
Brazil,30 Mar 1997,Williams Renault,1,10
Argentina,13 Apr 1997,Williams Renault,1,10
San Marino,27 Apr 1997,Williams Renault,DNF,0
Monaco,11 May 1997,Williams Renault,DNF,0
Spain,25 May 1997,Williams Renault,1,10
Canada,15 Jun 1997,Williams Renault,DNF,0
France,29 Jun 1997,Williams Renault,4,3
Great Britain,13 Jul 1997,Williams Renault,1,10
Germany,27 Jul 1997,Williams Renault,DNF,0
Hungary,10 Aug 1997,Williams Renault,1,10
Belgium,24 Aug 1997,Williams Renault,5,2
Italy,07 Sep 1997,Williams Renault,5,2
Austria,21 Sep 1997,Williams Renault,1,10
Luxembourg,28 Sep 1997,Williams Renault,1,10
Europe,26 Oct 1997,Williams Renault,3,4
