GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,09 Mar 1997,Arrows Yamaha,10,0
Brazil,30 Mar 1997,Arrows Yamaha,DNF,0
Argentina,13 Apr 1997,Arrows Yamaha,DNF,0
San Marino,27 Apr 1997,Arrows Yamaha,DNF,0
Monaco,11 May 1997,Arrows Yamaha,DNF,0
Spain,25 May 1997,Arrows Yamaha,DNF,0
Canada,15 Jun 1997,Arrows Yamaha,8,0
France,29 Jun 1997,Arrows Yamaha,DNF,0
Great Britain,13 Jul 1997,Arrows Yamaha,DNF,0
Germany,27 Jul 1997,Arrows Yamaha,DNF,0
Hungary,10 Aug 1997,Arrows Yamaha,DNF,0
Belgium,24 Aug 1997,Arrows Yamaha,7,0
Italy,07 Sep 1997,Arrows Yamaha,DNF,0
Austria,21 Sep 1997,Arrows Yamaha,DNF,0
Luxembourg,28 Sep 1997,Arrows Yamaha,5,2
Japan,12 Oct 1997,Arrows Yamaha,13,0
Europe,26 Oct 1997,Arrows Yamaha,DNF,0
