POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,10,David Coulthard,McLaren Mercedes,58,1:30:28.718,10
2,5,Michael Schumacher,Ferrari,58,+20.046s,6
3,9,Mika Hakkinen,McLaren Mercedes,58,+22.177s,4
4,8,Gerhard Berger,Benetton Renault,58,+22.841s,3
5,14,Olivier Panis,Prost Mugen Honda,58,+60.308s,2
6,17,Nicola Larini,Sauber Petronas,58,+96.040s,1
7,15,Shinji Nakano,Prost Mugen Honda,56,+2 laps,0
8,4,Heinz-Harald Frentzen,Williams Renault,55,DNF,0
9,21,Jarno Trulli,Minardi Hart,55,+3 laps,0
10,2,Pedro Diniz,Arrows Yamaha,54,+4 laps,0
NC,22,Rubens Barrichello,Stewart Ford,49,DNF,0
NC,19,Mika Salo,Tyrrell Ford,42,DNF,0
NC,23,Jan Magnussen,Stewart Ford,36,DNF,0
NC,7,Jean Alesi,Benetton Renault,34,DNF,0
NC,20,Ukyo Katayama,Minardi Hart,32,DNF,0
NC,12,Giancarlo Fisichella,Jordan Peugeot,14,DNF,0
NC,18,Jos Verstappen,Tyrrell Ford,2,DNF,0
NC,11,Ralf Schumacher,Jordan Peugeot,1,DNF,0
NC,6,Eddie Irvine,Ferrari,0,DNF,0
NC,3,Jacques Villeneuve,Williams Renault,0,DNF,0
NC,16,Johnny Herbert,Sauber Petronas,0,DNF,0
NC,1,Damon Hill,Arrows Yamaha,0,DNF,0
