POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,5,Michael Schumacher,Ferrari,54,1:17:40.646,10
2,7,Jean Alesi,Benetton Renault,54,+2.565s,6
3,12,Giancarlo Fisichella,Jordan Peugeot,54,+3.219s,4
4,4,Heinz-Harald Frentzen,Williams Renault,54,+3.768s,3
5,16,Johnny Herbert,Sauber Petronas,54,+4.716s,2
6,15,Shinji Nakano,Prost Mugen Honda,54,+36.701s,1
7,10,David Coulthard,McLaren Mercedes,54,+37.753s,0
8,2,Pedro Diniz,Arrows Yamaha,53,+1 lap,0
9,1,Damon Hill,Arrows Yamaha,53,+1 lap,0
10,17,Gianni Morbidelli,Sauber Petronas,53,+1 lap,0
11,14,Olivier Panis,Prost Mugen Honda,51,DNF,0
NC,19,Mika Salo,Tyrrell Ford,46,DNF,0
NC,18,Jos Verstappen,Tyrrell Ford,42,DNF,0
NC,8,Alexander Wurz,Benetton Renault,35,DNF,0
NC,22,Rubens Barrichello,Stewart Ford,33,DNF,0
NC,21,Jarno Trulli,Minardi Hart,32,DNF,0
NC,11,Ralf Schumacher,Jordan Peugeot,14,DNF,0
NC,20,Ukyo Katayama,Minardi Hart,5,DNF,0
NC,3,Jacques Villeneuve,Williams Renault,1,DNF,0
NC,6,Eddie Irvine,Ferrari,0,DNF,0
NC,9,Mika Hakkinen,McLaren Mercedes,0,DNF,0
NC,23,Jan Magnussen,Stewart Ford,0,DNF,0
