GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,08 Mar 1998,McLaren Mercedes,2,6
Brazil,29 Mar 1998,McLaren Mercedes,2,6
Argentina,12 Apr 1998,McLaren Mercedes,6,1
San Marino,26 Apr 1998,McLaren Mercedes,1,10
Spain,10 May 1998,McLaren Mercedes,2,6
Monaco,24 May 1998,McLaren Mercedes,DNF,0
Canada,07 Jun 1998,McLaren Mercedes,DNF,0
France,28 Jun 1998,McLaren Mercedes,6,1
Great Britain,12 Jul 1998,McLaren Mercedes,DNF,0
Austria,26 Jul 1998,McLaren Mercedes,2,6
Germany,02 Aug 1998,McLaren Mercedes,2,6
Hungary,16 Aug 1998,McLaren Mercedes,2,6
Belgium,30 Aug 1998,McLaren Mercedes,7,0
Italy,13 Sep 1998,McLaren Mercedes,DNF,0
Luxembourg,27 Sep 1998,McLaren Mercedes,3,4
Japan,01 Nov 1998,McLaren Mercedes,3,4
