GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,08 Mar 1998,Sauber Petronas,DNF,0
Brazil,29 Mar 1998,Sauber Petronas,9,0
Argentina,12 Apr 1998,Sauber Petronas,5,2
San Marino,26 Apr 1998,Sauber Petronas,6,1
Spain,10 May 1998,Sauber Petronas,10,0
Monaco,24 May 1998,Sauber Petronas,DNF,0
Canada,07 Jun 1998,Sauber Petronas,DNF,0
France,28 Jun 1998,Sauber Petronas,7,0
Great Britain,12 Jul 1998,Sauber Petronas,DNF,0
Austria,26 Jul 1998,Sauber Petronas,DNF,0
Germany,02 Aug 1998,Sauber Petronas,10,0
Hungary,16 Aug 1998,Sauber Petronas,7,0
Belgium,30 Aug 1998,Sauber Petronas,3,4
Italy,13 Sep 1998,Sauber Petronas,5,2
Luxembourg,27 Sep 1998,Sauber Petronas,10,0
Japan,01 Nov 1998,Sauber Petronas,7,0
