POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,8,Mika Hakkinen,McLaren Mercedes,51,1:27:22.535,10
2,4,Eddie Irvine,Ferrari,51,+6.491s,6
3,7,David Coulthard,McLaren Mercedes,51,+27.662s,4
4,9,Damon Hill,Jordan Mugen Honda,51,+73.491s,3
5,2,Heinz-Harald Frentzen,Williams Mecachrome,51,+73.857s,2
6,1,Jacques Villeneuve,Williams Mecachrome,51,+75.867s,1
7,14,Jean Alesi,Sauber Petronas,51,+96.053s,0
8,5,Giancarlo Fisichella,Benetton Playlife,51,+101.301s,0
9,6,Alexander Wurz,Benetton Playlife,50,+1 lap,0
10,15,Johnny Herbert,Sauber Petronas,50,+1 lap,0
11,11,Olivier Panis,Prost Peugeot,50,+1 lap,0
12,12,Jarno Trulli,Prost Peugeot,48,DNF,0
NC,22,Shinji Nakano,Minardi Ford,40,DNF,0
NC,3,Michael Schumacher,Ferrari,31,DNF,0
NC,21,Toranosuke Takagi,Tyrrell Ford,28,DNF,0
NC,23,Esteban Tuero,Minardi Ford,28,DNF,0
NC,18,Rubens Barrichello,Stewart Ford,25,DNF,0
NC,19,Jos Verstappen,Stewart Ford,21,DNF,0
NC,17,Mika Salo,Arrows,14,DNF,0
NC,10,Ralf Schumacher,Jordan Mugen Honda,13,DNF,0
NC,16,Pedro Diniz,Arrows,2,DNF,0
