GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Brazil,11 Apr 1999,Stewart Ford,DNF,0
San Marino,02 May 1999,Stewart Ford,DNF,0
Monaco,16 May 1999,Stewart Ford,DNF,0
Spain,30 May 1999,Stewart Ford,DNF,0
Canada,13 Jun 1999,Stewart Ford,5,2
France,27 Jun 1999,Stewart Ford,DNF,0
Great Britain,11 Jul 1999,Stewart Ford,12,0
Austria,25 Jul 1999,Stewart Ford,14,0
Germany,01 Aug 1999,Stewart Ford,DNF,0
Hungary,15 Aug 1999,Stewart Ford,11,0
Belgium,29 Aug 1999,Stewart Ford,DNF,0
Italy,12 Sep 1999,Stewart Ford,DNF,0
Europe,26 Sep 1999,Stewart Ford,1,10
Malaysia,17 Oct 1999,Stewart Ford,4,3
Japan,31 Oct 1999,Stewart Ford,7,0
