POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,4,Eddie Irvine,Ferrari,56,1:36:38.494,10
2,3,Michael Schumacher,Ferrari,56,+1.040s,6
3,1,Mika Hakkinen,McLaren Mercedes,56,+9.743s,4
4,17,Johnny Herbert,Stewart Ford,56,+17.538s,3
5,16,Rubens Barrichello,Stewart Ford,56,+32.296s,2
6,8,Heinz-Harald Frentzen,Jordan Mugen Honda,56,+34.884s,1
7,11,Jean Alesi,Sauber Petronas,56,+54.408s,0
8,10,Alexander Wurz,Benetton Playlife,56,+60.934s,0
9,21,Marc Gene,Minardi Ford,55,+1 lap,0
10,5,Alessandro Zanardi,Williams Supertec,55,+1 lap,0
11,9,Giancarlo Fisichella,Benetton Playlife,52,+4 laps,0
NC,22,Jacques Villeneuve,BAR Supertec,48,DNF,0
NC,12,Pedro Diniz,Sauber Petronas,44,DNF,0
NC,14,Pedro de la Rosa,Arrows,30,DNF,0
NC,20,Luca Badoer,Minardi Ford,15,DNF,0
NC,2,David Coulthard,McLaren Mercedes,14,DNF,0
NC,6,Ralf Schumacher,Williams Supertec,7,DNF,0
NC,15,Toranosuke Takagi,Arrows,7,DNF,0
NC,23,Ricardo Zonta,BAR Supertec,6,DNF,0
NC,18,Olivier Panis,Prost Peugeot,5,DNF,0
NC,7,Damon Hill,Jordan Mugen Honda,0,DNF,0
NC,19,Jarno Trulli,Prost Peugeot,0,DNF,0
