GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Spain,29 Apr 2001,Jaguar Cosworth,DNF,0
Austria,13 May 2001,Jaguar Cosworth,DNF,0
Monaco,27 May 2001,Jaguar Cosworth,DNF,0
Canada,10 Jun 2001,Jaguar Cosworth,6,1
Europe,24 Jun 2001,Jaguar Cosworth,8,0
France,01 Jul 2001,Jaguar Cosworth,14,0
Great Britain,15 Jul 2001,Jaguar Cosworth,12,0
Germany,29 Jul 2001,Jaguar Cosworth,DNF,0
Hungary,19 Aug 2001,Jaguar Cosworth,11,0
Belgium,02 Sep 2001,Jaguar Cosworth,DNF,0
Italy,16 Sep 2001,Jaguar Cosworth,5,2
United States,30 Sep 2001,Jaguar Cosworth,12,0
Japan,14 Oct 2001,Jaguar Cosworth,DNF,0
